x,H,H2,OH,HO2,H2O2,N2,O,O2,Al,AlH,AlH3,AlH2,Al2O3(L),H2O,AlO,OAlO,AlOH,Al2O3,Al2O3c,AlOAl,AlOAlO,AR,T,rho,p
0.000280525699819661,0.001802447499974557,0.002929153835150608,4.194404835035563e-08,2.099474917872443e-15,4.14667839532992e-17,0.04819252862755934,2.889621460124702e-08,3.252996766160274e-12,0.8086220829123265,0.01275444789451993,4.806326824949302e-08,6.725846996489261e-06,0.0917755065689177,7.579755288106128e-08,6.653138200029822e-06,1.023954979447704e-12,1.129871302118666e-05,4.256191254088996e-20,4.354662796454369e-20,0.03389891840452764,4.185344271206499e-08,1.202669471575477e-16,2823.127149839658,0.1173478537305229,101325
0.0002828475098544051,0.001853777960358868,0.00298588900094008,4.83818752943849e-08,2.467013661455879e-15,4.873713227831416e-17,0.04929032714964973,3.394376371571455e-08,3.822428429916021e-12,0.8043542074094588,0.01299936125220305,4.961305171430538e-08,6.882209716361638e-06,0.09383488662123232,8.683532298413257e-08,7.676915263849791e-06,1.203508489597004e-12,1.168189671817832e-05,5.001853127837233e-20,5.117662799734282e-20,0.03465504676609588,4.403932050164909e-08,1.229550813775781e-16,2852.517564120268,0.1161310746992999,101325
0.000285173350128807,0.001909423959324168,0.003041112724949742,5.704299684286271e-08,2.981768027941019e-15,5.892163488086835e-17,0.05041178381321647,4.085755081734581e-08,4.620054523896401e-12,0.8000215641850076,0.01322988483950434,5.126055671251333e-08,7.040491344967593e-06,0.09593368550339118,1.012395397672021e-07,8.983553573833994e-06,1.455018797151557e-12,1.212888907178009e-05,6.046273566248868e-20,6.186389873217964e-20,0.03542409451496091,4.711893266453178e-08,1.256927443430433e-16,2881.062742867785,0.1149764003530699,101325
0.0002875032276386305,0.001969207635871306,0.003095003742288798,6.819597922496887e-08,3.672527030660569e-15,7.259227681640135e-17,0.05155661895008456,4.991628778957415e-08,5.690583611571649e-12,0.7956269615376785,0.0134447069255994,5.29702408272843e-08,7.199638714599038e-06,0.09807106578662689,1.193589197628849e-07,1.058682305260241e-05,1.792640945721837e-12,1.264574413635102e-05,7.448047079846442e-20,7.620818984145652e-20,0.0362056614792808,5.128775152914644e-08,1.284786891789591e-16,2908.788215979672,0.1138821269822167,101325
0.0002898371493917815,0.002032963823575082,0.003147720696340673,8.220661189030508e-08,4.577199010911883e-15,9.050393000966484e-17,0.05272456820222819,6.152552562645964e-08,7.09300778944507e-12,0.7911728948935857,0.01364285678834259,5.470509115432016e-08,7.358661641988347e-06,0.1002462328869267,1.416096068314523e-07,1.251516535886162e-05,2.235106358817078e-12,1.323790517060208e-05,9.284484987464204e-20,9.500086499815179e-20,0.03699925419937315,5.672128806915164e-08,1.313117222592049e-16,2935.7180306586,0.1128249707232905,101325
0.0002921751224083301,0.002100539215696137,0.003199403015764656,9.952420829991499e-08,5.744523769107112e-15,1.136300165871274e-16,0.05391527163561725,7.619001734629026e-08,8.903404349927197e-12,0.7866616657893314,0.01382361207943805,5.643506805310833e-08,7.516579686690884e-06,0.1024584382199796,1.684689888115122e-07,1.480135017125656e-05,2.806429363448048e-12,1.391043397935367e-05,1.165527954987892e-19,1.192624372044196e-19,0.03780437743281266,6.361752454921585e-08,1.341907921729041e-16,2961.875228389732,0.1118085602952607,101325
0.0002945171537205322,0.002171789756600119,0.003250172548628898,1.206862045455431e-07,7.236273359437458e-15,1.432083259342533e-16,0.05512833417189468,9.452530819733521e-08,1.121850745987253e-11,0.782095339445686,0.0139864995125799,5.813586850550913e-08,7.672451838819e-06,0.1047069670082359,2.004863394811876e-07,1.748680944831364e-05,3.535813659034402e-12,1.466804325554564e-05,1.468718397741958e-19,1.502905140985965e-19,0.03862052420385237,7.219949681841846e-08,1.371149130488416e-16,2987.281975928263,0.1108265905605207,101325
0.00029686325037285,0.002246578899094587,0.003300135183327876,1.463249075637738e-07,9.130099626565117e-15,1.807990475581064e-16,0.05636334715378138,1.172722973678298e-07,1.416024945569521e-11,0.7774757429093813,0.01413127487748862,5.978778587560171e-08,7.825393659017012e-06,0.1069911275437224,2.382946332580508e-07,2.061403231589615e-05,4.456443781994804e-12,1.551513981521436e-05,1.853994539860938e-19,1.897205851930931e-19,0.03944719445107642,8.271808709762715e-08,1.400831255447561e-16,3011.959726663137,0.1098803026389862,101325
0.0002992134194219747,0.002324776353402677,0.003349382549182546,1.771765446583928e-07,1.152332647085497e-14,2.283419893735558e-16,0.05761989691004139,1.453142752411098e-07,1.788147613235579e-11,0.7728044904643788,0.01425789917959624,6.13750323039851e-08,7.974587946988923e-06,0.1093102418811015,2.826085753131322e-07,2.422756120320661e-05,5.610254638473429e-12,1.645567684562397e-05,2.341373293779938e-19,2.396021325361362e-19,0.04028389288718025,9.545118946506542e-08,1.430944747924994e-16,3035.929321273386,0.108974755930622,101325
0.0003015676679368466,0.002406257155692489,0.003397993707746711,2.140906526414303e-07,1.453729152898351e-14,2.881753820674376e-16,0.05889756784333909,1.796958983782464e-07,2.257312174934283e-11,0.7680830173242978,0.01436651458990209,6.288522425763868e-08,8.11929391704762e-06,0.1116636378140856,3.34220378104287e-07,2.837537472448825e-05,7.050727885547152e-12,1.749321137907577e-05,2.955837083220048e-19,3.02493240065391e-19,0.041130122054451,1.107086722454174e-07,1.461479983400628e-16,3059.211052118429,0.1081040129134645,101325
0.0003039260029986748,0.002490900984368141,0.003446036771739217,2.580393860434852e-07,1.83225888594289e-14,3.631686763656818e-16,0.06019594307265375,2.216436246415511e-07,2.847322719633259e-11,0.7633126102918006,0.01445741985642055,6.430882704452205e-08,8.258851668837314e-06,0.1140506425516433,3.940012059661222e-07,3.310855122664874e-05,8.84100987974139e-12,1.863100869491646e-05,3.728476272466272e-19,3.815776577742072e-19,0.04198538119325136,1.288361558215698e-07,1.492427207434577e-16,3081.824720952197,0.1072631326850315,101325
0.0003062884317009604,0.002578591605413461,0.003493570435232286,3.101269616074106e-07,2.306555230460335e-14,4.569102850763794e-16,0.06151460417925497,2.725872764788712e-07,3.587470281066077e-11,0.7584944357001415,0.01453104674155319,6.563871138992735e-08,8.392684252465317e-06,0.1164705785887841,4.629027048913003e-07,3.84811223544308e-05,1.105930527433379e-11,1.987212180386743e-05,4.697898217750809e-19,4.808091860173646e-19,0.04284916530215456,1.502164429914569e-07,1.523776529585122e-16,3103.789680246911,0.1064537395941364,101325
0.0003086549611495196,0.002669216387139264,0.003540645387379605,3.716000583157032e-07,2.899598737878732e-14,5.738280726575523e-16,0.06285313077820227,3.341836761154963e-07,4.512813363455754e-11,0.753629563778833,0.01458793822565497,6.686982508235372e-08,8.52029904628786e-06,0.1189227613845676,5.419591003782968e-07,4.45499137958546e-05,1.380207369384213e-11,2.121946208794569e-05,5.911961254560994e-19,6.050893405147048e-19,0.0437209644404051,1.752712684277644e-07,1.55551794379683e-16,3125.124862874608,0.1056750018342506,101325
0.0003110255984625011,0.002762665982590034,0.003587305586284435,4.438590281755958e-07,3.639607924051089e-14,7.193407083540892e-16,0.06421110072626517,4.083412732431472e-07,5.666253556425374e-11,0.7487189877220042,0.01462872808494362,6.799893360298961e-08,8.64128733349055e-06,0.1214064995363874,6.322895526016916e-07,5.137438485423411e-05,1.718593438979258e-11,2.267585644560623e-05,7.429907789465068e-19,7.604858402529118e-19,0.04460026380719462,2.044630237968063e-07,1.587641357559774e-16,3145.848804928592,0.1049211504493489,101325
0.0003134003507704099,0.00285883403035206,0.003633589393071569,5.284670675923995e-07,4.561159137913969e-14,9.000631973385252e-16,0.06558809008368496,4.972439610278716e-07,7.101326754198582e-11,0.7437636406659662,0.01465412183843481,6.902433561716695e-08,8.755321785546542e-06,0.1239210957591794,7.3510051081176e-07,5.90164427586186e-05,2.135030758198097e-11,2.424409168562276e-05,9.324981076076229e-19,9.545002735642117e-19,0.04548654415164724,2.382931485553703e-07,1.620136637673721e-16,3165.979655519069,0.1041884912398316,101325
